emoji,name,url,filename
🤝,handshake,https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/handshake_1f91d.png,data/handshake.png
💅,nail polish,https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/nail-polish_1f485.png,data/nail polish.png
💅🏻,nail polish: light skin tone,https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/nail-polish_light-skin-tone_1f485-1f3fb_1f3fb.png,data/nail polish: light skin tone.png
💅🏼,nail polish: medium-light skin tone,https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/nail-polish_medium-light-skin-tone_1f485-1f3fc_1f3fc.png,data/nail polish: medium-light skin tone.png
💅🏽,nail polish: medium skin tone,https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/nail-polish_medium-skin-tone_1f485-1f3fd_1f3fd.png,data/nail polish: medium skin tone.png
💅🏾,nail polish: medium-dark skin tone,https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/nail-polish_medium-dark-skin-tone_1f485-1f3fe_1f3fe.png,data/nail polish: medium-dark skin tone.png
💅🏿,nail polish: dark skin tone,https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/nail-polish_dark-skin-tone_1f485-1f3ff_1f3ff.png,data/nail polish: dark skin tone.png
👂,ear,https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/ear_1f442.png,data/ear.png
👂🏻,ear: light skin tone,https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/ear_light-skin-tone_1f442-1f3fb_1f3fb.png,data/ear: light skin tone.png
👂🏼,ear: medium-light skin tone,https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/271/ear_medium-light-skin-tone_1f442-1f3fc_1f3fc.png,data/ear: medium-light skin tone.png
